INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (1, 'Annette Gray', '1966-03-06', 'B.Sc', '09947 Hughes Roads Apt. 700, East Thomaschester, UT 25223', 5, 4, 1, 0, '2023-10-26 00:11:17', 4, '2024-10-19 05:33:39', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (16, 'Justin Stevenson', '2001-06-30', 'M.Tech', '79770 Edward Points Apt. 290, Kaitlynburgh, PA 89814', 3, 5, 0, 0, '2023-09-26 20:50:08', 1, '2024-09-11 04:46:18', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (17, 'Dennis Gonzales', '2000-12-11', 'PhD', '522 Jessica Dam Apt. 218, Port Lauramouth, NJ 29149', 4, 4, 0, 0, '2023-09-28 04:59:54', 4, '2025-07-07 13:09:55', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (18, 'Mrs. Jennifer Barr', '2002-06-02', 'M.Tech', '30163 Wells Lake, North Kristen, ME 47657', 5, 4, 1, 0, '2023-10-15 10:27:30', 2, '2025-03-13 02:35:46', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (19, 'Mario King', '1999-09-19', 'MBA', '934 Howard Loop, New Allisonchester, MN 18571', 5, 1, 0, 0, '2023-10-16 16:14:30', 3, '2025-07-01 01:20:18', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (20, 'Jennifer Leonard', '1985-05-23', 'B.Tech', '9632 Fowler Forges, New David, AR 70379', 5, 5, 1, 0, '2024-01-02 21:46:54', 3, '2025-04-07 20:21:20', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (21, 'Thomas Sanchez', '1980-07-01', 'PhD', '5292 Joshua Prairie, Port Margaretville, VT 35037', 3, 3, 0, 0, '2024-01-01 20:16:14', 1, '2025-01-14 21:54:03', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (22, 'Tanya Johnson', '1971-11-21', 'MBA', '737 Dyer Isle Suite 960, North Danielleland, WI 40357', 4, 3, 0, 0, '2023-08-30 00:43:17', 4, '2025-05-21 12:23:16', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (23, 'Jill Hernandez', '1977-02-18', 'MBA', '501 Johnson Plaza Apt. 376, East Jasontown, NM 64862', 3, 5, 1, 0, '2023-09-20 08:38:48', 1, '2024-09-20 03:37:44', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (24, 'Brittany Li', '1986-11-21', 'M.Tech', '8415 Wiggins Points, Peggyside, KS 23914', 2, 5, 0, 0, '2023-10-14 17:43:01', 5, '2024-09-07 02:35:04', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (25, 'Stephanie Jordan', '1999-10-05', 'M.Tech', 'PSC 8637, Box 6803, APO AP 37770', 3, 5, 1, 0, '2024-07-21 01:57:31', 2, '2024-12-29 11:10:37', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (26, 'Justin Brown', '1996-10-12', 'B.Tech', '709 Kennedy Plaza, Simpsonside, IL 10286', 5, 2, 0, 0, '2023-09-24 08:49:37', 3, '2024-11-24 22:16:35', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (27, 'Kristina Beasley', '1977-07-25', 'M.Tech', '6107 Franklin Mills, East Katherineborough, MS 81352', 4, 4, 1, 0, '2023-10-14 05:05:50', 4, '2025-04-10 17:12:22', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (28, 'Shawn Brown', '1988-04-18', 'MBA', '22632 Castro Road, East Rachel, UT 05412', 4, 4, 1, 0, '2024-02-03 20:16:22', 5, '2025-04-15 19:20:55', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (29, 'Larry Santos', '1970-08-02', 'B.Tech', '76254 Morgan Terrace Apt. 784, Hayeshaven, TN 22092', 5, 4, 0, 0, '2024-02-05 19:30:33', 2, '2024-09-18 11:45:00', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (30, 'Russell Davis', '2002-09-19', 'MBA', '38302 Dennis Summit Apt. 225, Petershire, MT 32628', 4, 1, 0, 0, '2023-10-31 22:26:39', 2, '2025-05-17 20:06:07', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (31, 'Jennifer Dunn', '1994-12-05', 'B.Sc', '7678 Devin Isle Suite 302, Byrdfurt, GA 26301', 3, 5, 0, 0, '2024-05-02 17:24:55', 2, '2025-05-09 02:08:14', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (32, 'Michael Patterson', '1984-04-16', 'B.Tech', '6520 Grace Plain Suite 026, Jenniferburgh, NY 56355', 3, 3, 0, 0, '2023-12-01 01:52:16', 3, '2024-09-13 21:01:30', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (33, 'John Miles', '1967-03-10', 'B.Sc', '619 Johnny Isle, Dakotafurt, IN 85958', 3, 1, 0, 0, '2023-12-19 06:57:59', 2, '2025-02-17 03:51:36', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (34, 'Robert King', '1967-01-16', 'B.Sc', '52422 Susan Land, Shawstad, MT 27736', 2, 1, 0, 0, '2024-06-22 14:42:12', 4, '2025-03-26 15:19:31', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (35, 'Michelle Lee', '1967-12-24', 'B.Sc', '36654 Jeremy Unions Suite 388, South Davidshire, HI 64815', 4, 2, 1, 0, '2024-01-19 10:01:11', 3, '2024-12-09 19:27:28', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (36, 'Laurie Martin', '1987-03-31', 'B.Sc', '94121 Hill Fall Apt. 216, South Teresa, GA 93459', 5, 1, 1, 0, '2024-05-31 13:06:12', 3, '2025-07-02 11:35:17', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (37, 'Taylor Hill', '1993-04-08', 'B.Sc', '953 Elizabeth Gardens Suite 292, South Jenniferland, AR 14227', 3, 2, 1, 0, '2024-03-07 21:07:32', 2, '2025-03-12 13:02:02', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (38, 'Brian Lindsey', '2003-01-02', 'PhD', '49015 Nolan Point Apt. 606, New Gregg, DE 19338', 4, 2, 0, 0, '2024-03-10 03:00:10', 1, '2025-04-09 11:52:37', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (39, 'David Simpson', '1968-04-17', 'M.Tech', '2297 Nathan Walks Suite 957, New Carlytown, NV 92433', 1, 2, 0, 0, '2023-12-09 03:41:46', 5, '2025-03-26 00:54:30', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (40, 'Zachary Reyes', '1972-07-09', 'B.Tech', '10854 Garrett Trail Suite 083, Troyhaven, OH 42708', 1, 3, 0, 0, '2024-06-02 19:03:06', 4, '2025-04-29 21:22:46', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (41, 'Derek Cole', '1965-11-17', 'B.Tech', '3397 Thomas Prairie, Smithchester, NV 77501', 1, 3, 0, 0, '2024-02-04 16:03:03', 2, '2025-03-14 07:15:30', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (42, 'Todd Barber', '1965-06-10', 'M.Sc', '001 Phillip Lock, Donaldbury, TX 18664', 5, 4, 0, 0, '2023-11-20 16:43:48', 1, '2025-06-21 02:03:58', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (43, 'Lori Rivera', '1969-05-12', 'M.Tech', '070 Stevens Highway Apt. 970, Hardyside, TN 55337', 4, 5, 1, 0, '2024-02-10 14:29:55', 3, '2025-03-18 19:08:02', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (44, 'Maria Myers', '2002-04-27', 'PhD', '32460 Jeffrey Plain Suite 860, Lake Erinmouth, MI 14596', 2, 4, 0, 0, '2024-06-02 08:51:21', 1, '2024-12-20 22:27:06', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (45, 'Debra Bush', '1975-10-30', 'M.Tech', '2187 Stephanie Hills, New Charleshaven, WV 92393', 4, 5, 1, 0, '2024-03-19 05:12:58', 4, '2025-06-09 06:17:56', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (46, 'Alicia Hicks', '1980-09-15', 'PhD', '8161 Brian Village, Williammouth, MN 56493', 5, 2, 1, 0, '2023-10-30 02:26:10', 5, '2025-04-30 03:16:20', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (47, 'Joseph Carter', '1996-03-15', 'MBA', '5279 Sanford Island, Willieton, MN 88675', 4, 3, 1, 0, '2024-07-12 23:27:08', 2, '2025-01-10 23:43:13', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (48, 'Andrew Allen', '1971-05-13', 'B.Sc', '3249 Colon Dale Suite 144, New Kimberly, NC 35667', 2, 3, 1, 0, '2023-12-30 12:00:24', 3, '2025-03-04 16:54:51', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (49, 'Mark Smith', '1970-05-15', 'PhD', '45229 Harrell Parkway Apt. 660, Gutierrezchester, AK 22957', 1, 2, 1, 0, '2023-08-12 20:12:24', 1, '2024-08-24 04:17:55', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (50, 'Michael Barnett', '1975-02-26', 'B.Sc', '556 Matthew Mountains Apt. 460, Dylanville, ID 30675', 3, 1, 1, 0, '2024-01-07 02:01:00', 1, '2025-04-07 06:24:11', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (51, 'Gregory Castaneda', '2000-05-15', 'B.Tech', '48190 Tucker Club, South Jonathan, CA 94033', 4, 1, 1, 0, '2024-05-18 00:02:00', 4, '2025-05-11 02:05:22', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (52, 'Amber Martinez', '1983-07-23', 'B.Sc', '057 Raymond Keys, Crossmouth, ND 74573', 5, 4, 1, 0, '2024-05-15 16:44:28', 5, '2025-07-21 10:59:02', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (53, 'Joseph Murphy', '1965-10-02', 'B.Tech', '1706 Case Trail, North Brandon, NJ 54594', 2, 4, 0, 0, '2024-01-01 23:43:42', 5, '2025-06-19 02:06:05', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (54, 'Rebecca Kennedy', '1967-05-01', 'B.Tech', '6325 Richard Rest Suite 730, South Troystad, IL 69132', 2, 2, 0, 0, '2023-11-24 06:18:46', 3, '2025-02-10 11:28:11', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (55, 'Joseph Novak', '1968-01-06', 'B.Tech', '26835 Schwartz Divide, Jeremytown, RI 79099', 1, 2, 0, 0, '2024-06-25 01:20:41', 3, '2024-08-16 10:46:55', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (56, 'Cynthia Morris', '1970-11-03', 'M.Sc', '707 Daniel Forest, Lake Marissabury, MI 61491', 2, 1, 0, 0, '2024-06-29 19:36:22', 5, '2024-11-23 19:21:16', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (57, 'David Perez', '1965-06-23', 'PhD', '453 Johnson Vista, Blanchardchester, DC 11686', 1, 2, 1, 0, '2023-12-13 23:22:12', 2, '2025-03-23 05:46:23', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (58, 'Timothy Payne', '1979-07-26', 'M.Tech', '642 Crawford Branch Suite 603, North Jamesfort, WI 82206', 2, 2, 1, 0, '2023-12-07 23:58:26', 2, '2025-03-17 14:43:00', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (59, 'Stephen Mullins', '1977-04-18', 'PhD', 'PSC 2189, Box 3060, APO AE 22472', 4, 5, 1, 0, '2023-11-26 00:05:45', 2, '2024-11-04 13:39:58', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (60, 'Meredith Johnson', '1975-04-13', 'PhD', 'USNV Campbell, FPO AA 41151', 4, 5, 0, 0, '2023-08-15 03:56:20', 1, '2025-02-06 19:36:15', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (61, 'Erik Robinson', '1991-09-09', 'M.Tech', '31709 Benjamin Avenue Suite 993, Baileyland, ID 59660', 1, 5, 0, 0, '2024-06-18 04:52:48', 4, '2024-08-22 00:19:14', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (62, 'Stephen Vincent', '1983-08-13', 'PhD', '1466 Susan Mission, West Thomas, DE 62015', 2, 1, 1, 0, '2023-11-30 22:36:00', 3, '2025-05-04 14:30:18', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (63, 'Andrea Coffey', '1973-03-11', 'MBA', '7507 Lara Extensions Apt. 168, East Carol, KY 87642', 1, 2, 1, 0, '2024-01-23 03:45:41', 5, '2024-07-30 22:51:33', 3);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (64, 'Melissa Young', '2000-06-28', 'M.Sc', '9206 Carmen Unions, New Stephanie, KY 03748', 2, 3, 1, 0, '2024-02-26 08:12:45', 4, '2025-03-13 14:48:39', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (65, 'Brett Bray', '1997-01-28', 'M.Tech', '090 Gregory Fort Apt. 678, North Danieltown, RI 35632', 1, 5, 1, 0, '2024-05-22 09:10:28', 3, '2024-12-11 01:07:55', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (66, 'Jesse Page', '1980-10-15', 'MBA', '1203 Brock Mountain, South Bryanshire, NH 73561', 3, 4, 1, 0, '2024-03-17 21:28:17', 5, '2025-06-05 18:54:24', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (67, 'Monique Carpenter', '1965-10-25', 'PhD', '8471 Fisher Keys, South Melissafort, NY 24442', 3, 2, 1, 0, '2024-05-07 13:18:46', 5, '2024-09-19 05:05:24', 2);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (68, 'Tracey Burns', '1965-02-17', 'B.Tech', '77288 Brittany Shore, Annaberg, MD 74962', 3, 3, 0, 0, '2023-11-09 14:50:51', 5, '2025-05-10 13:25:48', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (69, 'Lisa Burton', '1966-08-08', 'MBA', '3981 Anthony Street, South Thomas, MA 25018', 5, 2, 0, 0, '2023-09-29 12:19:21', 5, '2025-06-20 15:22:34', 5);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (70, 'Emily Jones', '1992-05-25', 'M.Tech', '82734 Chavez Flat Apt. 180, Collinsfurt, RI 82417', 4, 1, 0, 0, '2023-09-22 20:44:19', 3, '2024-12-04 05:47:11', 4);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (71, 'Hayden Reid', '1973-07-17', 'M.Tech', '8682 Lopez Vista Suite 556, Mitchellville, MS 55664', 1, 5, 1, 0, '2023-12-05 01:53:17', 4, '2025-05-25 10:15:52', 1);
INSERT INTO Employee (Id, Name, DOB, Qualification, Address, EmpDeptId, RoleId, IsActive, IsDeleted, CreatedOn, CreatedBy, ModifiedOn, ModifiedBy) VALUES (72, 'Cameron Moore', '1994-11-12', 'M.Sc', '458 Cooper Hollow Suite 717, Ashleyville, NE 44789', 3, 3, 0, 0, '2024-07-20 00:31:55', 4, '2025-02-12 19:01:25', 4);
